location,sample date,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Dissolved oxygen,Water temperature,measure,value
Achara,2009-01-15,       2.30,       7.00,      10.90,       6.50,Ammonium,       0.55
Achara,2009-02-13,       3.00,      13.00,      11.70,       5.50,Ammonium,       0.09
Achara,2009-03-19,       1.70,       5.30,      11.90,      13.00,Ammonium,       0.07
Achara,2009-04-17,       2.00,       6.00,      11.30,      16.00,Ammonium,       0.12
Achara,2009-05-17,       2.40,       7.00,       6.50,      21.00,Ammonium,       0.21
Achara,2009-07-18,       2.35,       7.50,       6.45,      21.00,Ammonium,       0.15
Achara,2009-08-13,       2.30,       8.00,       6.40,      21.00,Ammonium,       0.09
Achara,2009-10-09,       2.10,       7.00,       8.70,      17.00,Ammonium,       0.13
Achara,2009-10-12,       2.70,       5.00,      11.80,       6.00,Ammonium,       0.23
Achara,2009-11-07,       2.40,       8.00,       7.10,      22.00,Ammonium,       0.04
Achara,2009-11-10,       1.20,       6.00,       9.20,      17.00,Ammonium,       0.03
Achara,2009-11-19,       2.70,       5.00,      11.50,       8.00,Ammonium,       0.39
Achara,2009-12-06,       2.20,       7.00,       9.00,      26.00,Ammonium,       0.02
Achara,2010-01-16,       2.00,       7.00,      12.50,       4.00,Ammonium,       0.45
Achara,2010-02-20,       1.00,       5.00,      14.30,       5.00,Ammonium,       0.06
Achara,2010-02-21,       1.37,       5.33,      13.53,       5.33,Ammonium,       0.06
Achara,2010-03-13,       1.73,       5.67,      12.77,       5.67,Ammonium,       0.53
Achara,2010-03-19,       2.10,       6.00,      12.00,       6.00,Ammonium,       0.02
Achara,2010-03-31,       1.95,       7.00,      11.10,       8.50,Ammonium,       0.15
Achara,2010-04-16,       1.80,       8.00,      10.20,      11.00,Ammonium,       0.28
Achara,2010-05-15,       2.10,       8.00,       8.85,      15.50,Ammonium,       0.09
Achara,2010-05-20,       2.40,       8.00,       7.50,      20.00,Ammonium,       0.22
Achara,2010-06-17,       2.90,       9.00,       8.00,      18.00,Ammonium,       0.05
Achara,2010-06-30,       2.67,       8.25,       7.88,      19.00,Ammonium,       0.01
Achara,2010-07-04,       2.45,       7.50,       7.75,      20.00,Ammonium,       0.02
